"month","total_rides","member_count","member_percentage","casual_count","casual_percentage"
"January  ",100676,83203,82.64,17473,17.36
"February ",111506,91570,82.12,19936,17.88
"March    ",271092,189344,69.84,81748,30.16
"April    ",353908,238486,67.39,115422,32.61
"May      ",596161,344585,57.80,251576,42.20
"June     ",724838,388531,53.60,336307,46.40
"July     ",773451,404613,52.31,368838,47.69
"August   ",743158,413960,55.70,329198,44.30
"September",667047,392424,58.83,274623,41.17
"October  ",533420,339069,63.57,194351,36.43
"November ",325662,230416,70.75,95246,29.25
"December ",175341,132549,75.59,42792,24.41
