"duration_ride","member_winter_count","casual_winter_count"
1,2670,527
2,13950,2030
3,24039,4134
4,30839,5925
5,29780,6386
6,28053,6635
7,23790,6091
8,20895,5595
9,17546,4703
10,15386,4260
11,12535,3691
12,10964,3209
13,9085,2779
14,8096,2541
15,6805,2109
16,5935,1889
17,5117,1611
18,4536,1504
19,3766,1258
20,3429,1246
21,2982,1037
22,2759,970
23,2353,868
24,2180,835
25,1994,740
26,1762,707
27,1566,607
28,1456,608
29,1270,520
30,1145,483
31,1052,394
32,981,384
33,808,353
34,830,331
35,728,264
36,652,251
37,587,233
38,574,178
39,481,176
40,482,189
41,422,144
42,412,161
43,354,114
44,332,152
45,274,126
46,266,107
47,182,130
48,179,104
49,119,102
50,148,90
51,136,94
52,113,89
53,68,91
54,91,75
55,74,72
56,81,76
57,67,65
58,54,66
59,52,59
60,40,33
