"duration_ride","member_spring_count","casual_spring_count"
1,6381,2342
2,32849,6219
3,52882,11042
4,65283,16437
5,61890,19782
6,59469,22013
7,51934,22126
8,48069,22808
9,41506,21574
10,37898,21334
11,32417,19134
12,29388,18524
13,25017,16600
14,23025,15948
15,19520,14342
16,17985,13550
17,15350,12129
18,14247,11719
19,12339,10503
20,11557,10313
21,10043,9120
22,9430,8965
23,8472,8063
24,7709,7574
25,6796,7069
26,6496,6880
27,5757,6310
28,5336,6113
29,4694,5555
30,4630,5264
31,4073,4772
32,3804,4478
33,3500,4009
34,3327,4045
35,2921,3748
36,2797,3467
37,2495,3169
38,2463,3132
39,1999,2850
40,2031,2803
41,1787,2498
42,1737,2507
43,1531,2232
44,1398,2209
45,1084,1921
46,1044,2002
47,826,1886
48,724,1792
49,631,1617
50,560,1684
51,495,1502
52,458,1466
53,382,1451
54,378,1438
55,341,1272
56,331,1310
57,306,1206
58,292,1210
59,222,1129
60,109,589
