"duration_ride","member_fall_count","casual_fall_count"
1,7962,3963
2,37761,11720
3,64319,22087
4,82514,32165
5,80301,35205
6,77419,37619
7,67819,35738
8,62651,34972
9,53878,31131
10,49644,29233
11,42107,26198
12,37412,23741
13,31990,20933
14,29231,19135
15,24853,16534
16,22715,15398
17,19249,13393
18,17673,12503
19,15233,10881
20,13880,10426
21,11937,9136
22,11063,8597
23,9527,7549
24,8840,7319
25,7589,6400
26,7181,6178
27,6270,5527
28,6025,5328
29,5237,4857
30,4889,4569
31,4267,4081
32,4076,3778
33,3551,3440
34,3381,3256
35,3131,2821
36,2865,2803
37,2532,2645
38,2408,2506
39,2027,2259
40,1937,2338
41,1740,2089
42,1679,1896
43,1413,1811
44,1311,1805
45,1143,1636
46,990,1592
47,851,1426
48,726,1335
49,630,1343
50,551,1323
51,507,1219
52,474,1151
53,422,1076
54,423,1046
55,357,1047
56,327,979
57,299,946
58,323,896
59,267,816
60,132,426
