"month_name","member_classic_rides","casual_classic_rides","member_electric_rides","casual_electric_rides","member_docked_rides","casual_docked_rides"
"January  ",47102,6445,36101,10191,0,837
"February ",50036,7412,41534,11427,0,1097
"March    ",96997,31765,92347,43327,0,6656
"April    ",116794,42938,121692,62901,0,9583
"May      ",193294,112408,151291,119457,0,19711
"June     ",230983,154958,157548,158271,0,23078
"July     ",211954,141308,192659,204791,0,22739
"August   ",210704,116979,203256,192341,0,19878
"September",196417,96572,196007,162723,0,15328
"October  ",148758,56196,190311,128264,0,9891
"November ",109518,31070,120898,59261,0,4915
"December ",59596,11959,72953,29157,0,1676
